Price,Beds,Baths,Sizes,Zipcode
313079,4,2,1813,73135
268169,3,2,1295,73135
371022,4,2.5,2370,73170
345572,3,2,1907,73170
290334,3,2,1586,73170
298856,3,2,1586,73135
321659,3,2,2136,73170
301095,3,2,1682,73135
313383,3,2,2136,73099
371196,4,2.5,2370,73099
282897,3,2,1586,73099
252706,3,2,1295,73099
379289,3,2,2327,73099
295766,3,2,1768,73099
254149,3,2,1385,73099
248000,3,2,1421,73099
236900,4,2,1713,73132
279343,3,2,1385,73078
372391,3,2,2136,74636
348565,3,2,1768,74636
334947,3,2,1586,74636
289858,3,2,1295,74636
319471,3,2,1682,73099
383994,3,2,2026,73170
294870,3,2,1234,74636
451657,3,2.5,2205,73170
333435,4,2,1813,73099
257738,3,2,1158,73078
317890,3,2,1682,73170
355697,4,2,1989,73099
267648,3,2,1295,73170
270688,3,2,1385,73170
262947,3,2,1158,73170
354011,4,2,1989,73012
452023,3,2.5,2483,73099
325375,3,2,1586,73099
317293,3,2,1813,73099
273960,4,2,1486,73099
340944,3,2,1601,74636
459777,3,3.5,2713,73170
421079,4,2,2327,73012
395066,3,2,2123,73170
446046,3,2.5,2205,73078
370529,3,2,1907,73078
303666,3,2,1601,73170
328290,3,2,1768,73170
314809,3,2,1555,73099
242512,3,2,1158,73099
310645,4,2,1989,73099
280893,3,2,1267,73099
315962,3,2,2136,73099
261438,3,2,1385,73099
252757,3,2,1385,73099
267999,3,2,1464,73099
280052,3,2,1682,73099
254103,3,2,1295,73099
277656,3,2,1601,73099
310850,4,2,1850,73142
336490,3,2,1750,73099
428340,4,3,2300,73099
420340,4,2,2200,73099
262990,3,2,1575,73064
276990,4,2,1796,73064
271990,4,2,1665,73064
292990,4,3,2042,73064
308490,4,3,2174,73064
266990,4,2,1614,73064
289990,4,2,2031,73064
282990,4,2,1831,73064
257990,3,2,1412,73064
325990,4,2,2031,73142
319990,4,3,2042,73142
305490,4,2,1810,73142
282990,4,3,2042,73078
310990,4,2,1881,73142
363990,5,3,2608,73142
330990,4,2,2152,73142
325990,4,2,2100,73142
309990,3,2,1788,73099
346990,4,2,2326,73142
174900,3,2,1320,73112
289000,3,2,1554,73012
199500,3,1.5,1260,73120
382840,4,2.5,1950,73099
396840,4,2.5,2000,73099
390340,4,2.5,2000,73099
365340,4,2,1850,73099
421840,4,3,2350,73099
408340,4,2,2200,73099
386340,3,2,1970,73099
411340,4,3,2250,73099
416340,4,3,2300,73099
382840,4,2.5,1950,73099
367840,4,2.5,1850,73099
411340,4,3,2250,73099
387840,4,2,2000,73099
331490,4,2,1700,73099
408340,4,2,2200,73099
371340,4,2,1900,73099
416340,4,3,2300,73099
401340,4,2,2100,73099
323490,3,2,1625,73099
426840,4,3,2400,73099
326490,4,2,1650,73099
380340,4,2,1950,73099
371340,4,2,1900,73099
455840,4,3,2640,73099
313490,3,2,1550,73099
431840,4,3,2450,73099
415840,4,2.5,2250,73099
265990,3,2,1400,73099
427840,4,3,2450,73099
383340,4,2,1950,73099
362840,4,2,1900,73099
354340,4,2,1800,73099
413340,4,3,2350,73099
327840,3,2,1750,73099
239990,3,2,1200,73099
253990,3,2,1300,73099
263990,3,2,1300,73013
249990,3,2,1200,73013
392340,3,2,1970,73099
371340,4,2,1850,73099
399840,4,2,1850,73012
315490,3,2,1550,73099
335490,4,2,1700,73099
327490,3,2,1625,73099
311490,3,2,1500,73099
362340,4,2,1800,73099
381840,4,2,1800,73012
311490,3,2,1500,73099
385340,3,2,1970,73064
324990,3,2,1625,73099
446840,4,3,2500,73064
372340,4,2,1850,73099
387340,4,2,1950,73099
378340,4,2,1900,73099
365340,4,2,1800,73099
449990,5,3,2520,73099
376340,3,2,1970,73179
447840,4,3.5,2500,73099
429484,3,2.5,2483,73099
424990,3,3.5,2888,73099
422340,4,3,2350,73099
422340,4,3,2350,73099
366840,4,2.5,1850,73099
445340,4,3.5,2500,73099
455340,4,3,2640,73099
308490,3,2,1550,73099
418340,3,2,1970,73012
279990,4,2,1565,73099
350503,3,2,1682,74636
355151,3,2,1682,74636
395492,3,2,1907,73099
432911,4,2.5,2370,73099
445494,3,2.5,2205,73078
279911,3,2,1385,73078
315259,3,2,1682,73170
345607,3,2,1768,74636
341846,3,2,1586,74636
301056,3,2,1586,73078
317728,3,2,1464,74636
356914,3,2,1768,74636
329609,3,2,1768,73170
373726,4,2,1989,74636
437395,3,2.5,2205,73170
407038,4,2,2188,73170
351188,4,2,1989,73099
426631,4,2.5,2402,73170
456051,3,3.5,2713,73078
405840,4,2,1900,73013
323965,3,2,1630,73179
340490,3,2,1785,73179
375340,3,2,1970,73179
338965,3,2,1785,73179
384340,4,2,1950,73013
373340,4,2,1950,73179
367840,4,2,1950,73099
279990,4,2,1565,73099
279990,4,2,1565,73099
310000,3,2,1808,73107
309900,3,2,2161,73170
349500,3,2,1892,73013
220000,3,1,1348,73118
308000,3,2,4501,73118
240000,4,3,2199,73116
825000,7,5,3284,73106
335000,2,2,1665,73112
296990,4,3,2174,73078
169900,3,2,1351,73099
299500,4,2.5,2142,73170
135000,6,2,1404,73106
276768,4,2,1486,73170
284979,4,2,1486,73135
252100,3,2,1158,73135
338125,3,2,2026,73170
288734,3,2,1496,73170
245503,3,2,1158,73170
313630,4,2,1989,73170
297612,3,2,1496,73135
327371,4,2,1989,73135
374001,4,2.5,2402,73170
403653,3,2.5,2713,73170
298692,4,2,1813,73170
313079,4,2,1813,73135
268169,3,2,1295,73135
371022,4,2.5,2370,73170
345572,3,2,1907,73170
290334,3,2,1586,73170
298856,3,2,1586,73135
321659,3,2,2136,73170
301095,3,2,1682,73135
298856,3,2,1586,73135
321659,3,2,2136,73170
301095,3,2,1682,73135
378344,3,2,2327,73170
299667,3,2,1768,73170
319362,3,2,1853,73135
253260,3,2,1295,73170
263748,3,2,1234,73135
351870,3,2,2123,73170
421083,3,2.5,2483,73170
284633,3,2,1464,73135
254529,3,2,1234,73170
329227,3,2,1864,73170
262786,3,2,1385,73170
277876,3,2,1385,73135
355156,4,2,2105,73170
292797,3,2,1655,73170
336139,3,2,2136,73135
267647,3,2,1464,73170
287088,3,2,1682,73170
357468,4,2,2188,73170
397182,3,2.5,2205,73170
299900,3,2,2003,73012
393340,4,2.5,2000,73099
385840,4,2.5,1950,73099
390840,4,2,2000,73099
404340,4,2,2100,73099
418840,3,2.5,2250,73099
130000,2,2,1134,73132
814900,4,4,3253,73151
352270,3,2,1813,74636
336753,3,2,1496,74636
315548,3,2,1496,73099
270989,3,2,1385,73170
305841,3,2,1295,74636
299957,3,2,1385,74636
338021,4,2,1813,74636
352651,3,2.5,2136,73099
386371,4,2,2105,73078
290639,3,2,1496,73078
312018,3,2,1496,73099
260303,4,2,1486,73078
313383,3,2,2136,73099
371196,4,2.5,2370,73099
282897,3,2,1586,73099
252706,3,2,1295,73099
379289,3,2,2327,73099
295766,3,2,1768,73099
254149,3,2,1385,73099
248000,3,2,1421,73099
236900,4,2,1713,73132
279343,3,2,1385,73078
372391,3,2,2136,74636
348565,3,2,1768,74636
334947,3,2,1586,74636
289858,3,2,1295,74636
319471,3,2,1682,73099
383994,3,2,2026,73170
294870,3,2,1234,74636
451657,3,2.5,2205,73170
333435,4,2,1813,73099
257738,3,2,1158,73078
317890,3,2,1682,73170
355697,4,2,1989,73099
267648,3,2,1295,73170
270688,3,2,1385,73170
262947,3,2,1158,73170
354011,4,2,1989,73012
452023,3,2.5,2483,73099
325375,3,2,1586,73099
317293,3,2,1813,73099
273960,4,2,1486,73099
340944,3,2,1601,74636
459777,3,3.5,2713,73170
421079,4,2,2327,73012
395066,3,2,2123,73170
446046,3,2.5,2205,73078
370529,3,2,1907,73078
303666,3,2,1601,73170
328290,3,2,1768,73170
314809,3,2,1555,73099
242512,3,2,1158,73099
310645,4,2,1989,73099
280893,3,2,1267,73099
315962,3,2,2136,73099
261438,3,2,1385,73099
252757,3,2,1385,73099
267999,3,2,1464,73099
280052,3,2,1682,73099
254103,3,2,1295,73099
277656,3,2,1601,73099
310850,4,2,1850,73142
336490,3,2,1750,73099
428340,4,3,2300,73099
420340,4,2,2200,73099
262990,3,2,1575,73064
276990,4,2,1796,73064
271990,4,2,1665,73064
292990,4,3,2042,73064
308490,4,3,2174,73064
266990,4,2,1614,73064
289990,4,2,2031,73064
282990,4,2,1831,73064
257990,3,2,1412,73064
325990,4,2,2031,73142
319990,4,3,2042,73142
305490,4,2,1810,73142
282990,4,3,2042,73078
310990,4,2,1881,73142
363990,5,3,2608,73142
330990,4,2,2152,73142
325990,4,2,2100,73142
309990,3,2,1788,73099
346990,4,2,2326,73142
174900,3,2,1320,73112
289000,3,2,1554,73012
199500,3,1.5,1260,73120
382840,4,2.5,1950,73099
396840,4,2.5,2000,73099
390340,4,2.5,2000,73099
365340,4,2,1850,73099
421840,4,3,2350,73099
408340,4,2,2200,73099
386340,3,2,1970,73099
411340,4,3,2250,73099
416340,4,3,2300,73099
382840,4,2.5,1950,73099
367840,4,2.5,1850,73099
411340,4,3,2250,73099
387840,4,2,2000,73099
331490,4,2,1700,73099
408340,4,2,2200,73099
371340,4,2,1900,73099
416340,4,3,2300,73099
401340,4,2,2100,73099
323490,3,2,1625,73099
426840,4,3,2400,73099
326490,4,2,1650,73099
380340,4,2,1950,73099
371340,4,2,1900,73099
455840,4,3,2640,73099
313490,3,2,1550,73099
431840,4,3,2450,73099
415840,4,2.5,2250,73099
265990,3,2,1400,73099
427840,4,3,2450,73099
383340,4,2,1950,73099
362840,4,2,1900,73099
354340,4,2,1800,73099
413340,4,3,2350,73099
327840,3,2,1750,73099
239990,3,2,1200,73099
253990,3,2,1300,73099
263990,3,2,1300,73013
249990,3,2,1200,73013
392340,3,2,1970,73099
371340,4,2,1850,73099
399840,4,2,1850,73012
315490,3,2,1550,73099
335490,4,2,1700,73099
327490,3,2,1625,73099
311490,3,2,1500,73099
362340,4,2,1800,73099
381840,4,2,1800,73012
311490,3,2,1500,73099
385340,3,2,1970,73064
324990,3,2,1625,73099
446840,4,3,2500,73064
372340,4,2,1850,73099
387340,4,2,1950,73099
378340,4,2,1900,73099
365340,4,2,1800,73099
449990,5,3,2520,73099
376340,3,2,1970,73179
447840,4,3.5,2500,73099
429484,3,2.5,2483,73099
424990,3,3.5,2888,73099
422340,4,3,2350,73099
422340,4,3,2350,73099
366840,4,2.5,1850,73099
445340,4,3.5,2500,73099
455340,4,3,2640,73099
308490,3,2,1550,73099
418340,3,2,1970,73012
279990,4,2,1565,73099
350503,3,2,1682,74636
355151,3,2,1682,74636
395492,3,2,1907,73099
432911,4,2.5,2370,73099
445494,3,2.5,2205,73078
279911,3,2,1385,73078
315259,3,2,1682,73170
345607,3,2,1768,74636
341846,3,2,1586,74636
301056,3,2,1586,73078
317728,3,2,1464,74636
356914,3,2,1768,74636
329609,3,2,1768,73170
373726,4,2,1989,74636
437395,3,2.5,2205,73170
407038,4,2,2188,73170
351188,4,2,1989,73099
426631,4,2.5,2402,73170
456051,3,3.5,2713,73078
405840,4,2,1900,73013
323965,3,2,1630,73179
340490,3,2,1785,73179
375340,3,2,1970,73179
338965,3,2,1785,73179
384340,4,2,1950,73013
373340,4,2,1950,73179
367840,4,2,1950,73099
279990,4,2,1565,73099
279990,4,2,1565,73099
310000,3,2,1808,73107
309900,3,2,2161,73170
349500,3,2,1892,73013
220000,3,1,1348,73118
308000,3,2,4501,73118
240000,4,3,2199,73116
825000,7,5,3284,73106
335000,2,2,1665,73112
296990,4,3,2174,73078
169900,3,2,1351,73099
299500,4,2.5,2142,73170
135000,6,2,1404,73106
276768,4,2,1486,73170
284979,4,2,1486,73135
252100,3,2,1158,73135
338125,3,2,2026,73170
288734,3,2,1496,73170
245503,3,2,1158,73170
313630,4,2,1989,73170
297612,3,2,1496,73135
327371,4,2,1989,73135
374001,4,2.5,2402,73170
